Station Name,Accessibilité ,Adjacent building,Adjacent station,Adresse ,Architect,Architecte(s) ,Area,Artiste(s) ,Autocar liO ,Bus ,Bus Tisséo ,"Bus, Navette Tisséo ",Capital cost,Connecting line,Construction ,Coordonnéesgéographiques ,Date of official closure,Date of official opening,Different from,Elevation above sea level,Exploitant ,Has part(s),Has use,Heritage designation,Inception,Interchange station,Ligne(s) ,Linéo Tisséo ,Linéo TisséoNavette Tisséo ,Localisation,Located in or next to body of water,Located on street,Location,Mise en service ,Métro ,Named after,Navette Tisséo ,Nombre d'accès ,Operator,Owned by,Part of,Pays,Position parrapport au sol ,Pronunciation audio,Propriétaire ,Quais ,Quartier ,Quartier de Toulouse ,Replaces,Service entry,Significant event,Street address,Structure replaces,TAD Tisséo ,TER ,TER Occitanie ,Train ,Train urbain ,Trains ,Tramway ,Transit annuel ,Transport network,Téléphérique ,Ville,Visitors per year,Voies ,  ,  Train urbain ,​​​​​​​​​​​​​​​ ,​​​​​​​​​​​​​​​ BHNS ,​​​​​​​​​​​​​​​ Bus 
Le Haillan Rostand (Bordeaux Tramway),,,"Les Pins tram stop (La Gardette - Bassens - Carbon-Blanc tram stop, Floirac Dravemont tram stop, Bordeaux Tramway Line A)",,,,,,,,,,,Bordeaux Tramway Line A,,,,24 January 2015,,,,,,,,,,,,"44° 51′ 30.66″ N, 0° 40′ 05.95″ W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bordeaux tramway,,,,,,,,,
Les Aubiers (Bordeaux Tramway),,,"Cracovie tram stop (Villenave Pyrénées tram stop, Bordeaux Tramway Line C)Berges du Lac tram stop (Parc des Expositions tram stop, Bordeaux Tramway Line C)",,,,,,,,,,,Bordeaux Tramway Line C,,,,,,,,,,,,,,,,"44° 52′ 26.36″ N, 0° 34′ 27.13″ W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bordeaux tramway,,,,,,,,,
Les Pins (Bordeaux Tramway),,,"Le Haillan Rostand tram stop (Le Haillan Rostand tram stop, Bordeaux Tramway Line A)Frères Robinson tram stop (La Gardette - Bassens - Carbon-Blanc tram stop, Floirac Dravemont tram stop, Bordeaux Tramway Line A)",,,,,,,,,,,Bordeaux Tramway Line A,,,,,,,,,,,,,,,,"44° 51′ 25.02″ N, 0° 39′ 35.38″ W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bordeaux tramway,,,,,,,,,
Lycée Václav Havel (Bordeaux Tramway),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montaigne - Montesquieu (Bordeaux Tramway),,,"Unitec tram stop (France Alouette tram stop, Pessac Centre tram stop, Bordeaux Tramway Line B)Doyen Brus tram stop (Berges de la Garonne tram stop, Bordeaux Tramway Line B)",,,,,,,,,,,Bordeaux Tramway Line B,,,,,,,,,,,,,,,,"44° 47′ 48.43″ N, 0° 37′ 02.51″ W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bordeaux tramway,,,,,,,,,
Musée d'Aquitaine (Bordeaux Tramway),,,"Victoire tram stop (France Alouette tram stop, Pessac Centre tram stop, Bordeaux Tramway Line B)Hôtel de Ville tram stop (Berges de la Garonne tram stop, Bordeaux Tramway Line B)",,,,,,,,,,,Bordeaux Tramway Line B,,,,,,,,,,,,,,,,"44° 50′ 07.95″ N, 0° 34′ 31.17″ W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bordeaux tramway,,,,,,,,,
Mériadeck (Bordeaux Tramway),,,"St Bruno - Hôtel de Région tram stop (Le Haillan Rostand tram stop, Bordeaux Tramway Line A)Palais de Justice tram stop (La Gardette - Bassens - Carbon-Blanc tram stop, Floirac Dravemont tram stop, Bordeaux Tramway Line A)",,,,,,,,,,,Bordeaux Tramway Line A,,,,,,,,,,,,,,,,"44° 50′ 17.39″ N, 0° 35′ 03.56″ W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bordeaux tramway,,,,,,,,,
Parc des Expositions - Stade Matmut-Atlantique (Bordeaux Tramway),,,"Palais des congrès tram stop (Villenave Pyrénées tram stop, Bordeaux Tramway Line C)",,,,,,,,,,,Bordeaux Tramway Line C,,,,,,,,,,,,,,,,"44° 53′ 36.02″ N, 0° 33′ 56.88″ W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bordeaux tramway,,,,,,,,,
Mérignac Soleil (Bordeaux Tramway),,,"Quatre Chemins tram stop (Le Haillan Rostand tram stop, Bordeaux Tramway Line A)Chemin Long (Mérignac Aéroport, Bordeaux Tramway Line A)",,,,,,,,,,,Bordeaux Tramway Line A,,,,,,,,,,,,,,,,"44° 49′ 50.96″ N, 0° 39′ 25.24″ W",,,"Mérignac, Bordeaux Métropole",,,,,,,,,,,,,,,,,29 April 2023,,,,,,,,,,,,Bordeaux tramway,,,,,,,,,
Peixotto (Bordeaux Tramway),,,"Béthanie tram stop (Pessac Centre tram stop, France Alouette tram stop, Bordeaux Tramway Line B)Forum tram stop (Berges de la Garonne tram stop, Bordeaux Tramway Line B)",,,,,,,,,,,Bordeaux Tramway Line B,,,,,,,,,,,,,,,,"44° 48′ 26.08″ N, 0° 35′ 33.33″ W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bordeaux tramway,,,,,,,,,
