Station Name,Accessibilité ,Adjacent building,Adjacent station,Adresse ,Architect,Architecte(s) ,Area,Artiste(s) ,Autocar liO ,Bus ,Bus Tisséo ,"Bus, Navette Tisséo ",Capital cost,Connecting line,Construction ,Coordonnéesgéographiques ,Date of official closure,Date of official opening,Different from,Elevation above sea level,Exploitant ,Has part(s),Has use,Heritage designation,Inception,Interchange station,Ligne(s) ,Linéo Tisséo ,Linéo TisséoNavette Tisséo ,Localisation,Located in or next to body of water,Located on street,Location,Mise en service ,Métro ,Named after,Navette Tisséo ,Nombre d'accès ,Operator,Owned by,Part of,Pays,Position parrapport au sol ,Pronunciation audio,Propriétaire ,Quais ,Quartier ,Quartier de Toulouse ,Replaces,Service entry,Significant event,Street address,Structure replaces,TAD Tisséo ,TER ,TER Occitanie ,Train ,Train urbain ,Trains ,Tramway ,Transit annuel ,Transport network,Téléphérique ,Ville,Visitors per year,Voies ,  ,  Train urbain ,​​​​​​​​​​​​​​​ ,​​​​​​​​​​​​​​​ BHNS ,​​​​​​​​​​​​​​​ Bus 
Gare d'Achères - Grand-Cormier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"48° 57′ 18.64″ N, 2° 05′ 31.37″ E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gare d'Ablon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gare d'Antony (RER),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gare d'Arcueil - Cachan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gare d'Arpajon,,,"gare d'Égly (Gare de Dourdan-la-Forêt, RER C)Gare de La Norville - Saint-Germain-lès-Arpajon (Gare de Saint-Quentin-en-Yvelines, RER C)",,,,,,,,,,,Ligne de Brétigny à La Membrolle-sur-Choisille,,,,1865,,69 m,,,,,,,,,,"48° 35′ 09.64″ N, 2° 14′ 28.1″ E",,,,,,,,,Société nationale des chemins de fer français,Société nationale des chemins de fer français,,,,,,,,,,,,,,,,,,,,,,Réseau express régional,,,,,,,,,
Gare des Ardoines,,,"Vitry-sur-Seine (Gare d'Austerlitz, Paris–Bordeaux railway)Choisy-le-Roi (Bordeaux-Saint-Jean railway station, Paris–Bordeaux railway)Vitry-sur-Seine (Gare de Saint-Quentin-en-Yvelines, Versailles Château–Rive-Gauche, Gare de Pontoise, RER C)Choisy-le-Roi (Saint-Martin-d'Étampes, Gare de Versailles-Chantiers, Gare de Dourdan-la-Forêt, RER C)",,,,,,,,,,,Paris–Bordeaux railway,,,,25 September 1977,,33 m,,,,,1977,Gare RER les Ardoines,,,,"48° 46′ 57″ N, 2° 24′ 33.98″ E",,Rue Léon-Geffroy,,,,,,,Société nationale des chemins de fer français,Société nationale des chemins de fer français,,,,,,,,,,,,,,,,,,,,,,Réseau express régional,,,,,,,,,
Gare d'Athis-Mons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"48° 42′ 45.43″ N, 2° 24′ 12.46″ E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gare d'Aulnay-sous-Bois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"48° 55′ 55″ N, 2° 29′ 40″ E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gare d'Auber,,,"Charles-de-Gaulle - Étoile (Saint-Germain-en-Laye station, Poissy station, Gare de Cergy-le-Haut, RER A)Gare de Châtelet – Les Halles (Marne-la-Vallée - Chessy, Boissy-Saint-Léger, RER A)",,,,,,,,,,,,,,,23 November 1971,,,,,,,,OpéraHavre – Caumartin,,,,"48° 52′ 22.8″ N, 2° 19′ 44.4″ E",,,Paris9th arrondissement of ParisFrance,,,,,,RATP,RATP,,,,,,,,,,,,,,,,,,,,,,Réseau express régional,,,,,,,,,
Gare de Paris-Austerlitz (underground),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gare de Paris-Austerlitz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"48° 50′ 32″ N, 2° 21′ 57″ E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gare de l'avenue du Président-Kennedy,,,"Boulainvilliers (Gare de Pontoise, RER C)Champ de Mars–Tour Eiffel (Gare de Massy-Palaiseau, RER C)",,,,,,,,,,,Ermont-Eaubonne à Champ-de-Mars railway line (VMI line),,,,1988,,37 m,,,,,1988,,,,,"48° 51′ 11.63″ N, 2° 16′ 48.61″ E",,,,,,,,,Société nationale des chemins de fer français,Société nationale des chemins de fer français,,,,,,,,,,,,,,,,,,,,,,Réseau express régional,,,,,,,,,
Gare des Baconnets,,,"Fontaine-Michalon Station (Aéroport Charles de Gaulle 2 TGV, Gare de Mitry – Claye, RER B)Gare de Massy-Verrières (Gare de Saint-Rémy-lès-Chevreuse, RER B)",,,,,,,,,,,Ligne de Sceaux,,,,September 1969,,,,,,,1969,,,,,"48° 44′ 22″ N, 2° 17′ 14″ E",,,"Antony, Hauts-de-Seine, Île-de-France, Metropolitan France, France",,,,,,RATP,RATP,,,,,,,,,,,,,,,,,,,,,,Réseau express régional,,,,,,,,,
Gare de l'avenue Henri-Martin,,,"Gare de l'Avenue Foch (Gare de Pontoise, RER C)Boulainvilliers (Gare de Massy-Palaiseau, RER C)",,,,,,,,,,,Ermont-Eaubonne à Champ-de-Mars railway line (VMI line),,,,25 September 1988,,46 m,,,,,25 September 1988,,,,,"48° 51′ 51.01″ N, 2° 16′ 18.98″ E",,,Paris16th arrondissement of ParisFrance,,,,,,Société nationale des chemins de fer français,Société nationale des chemins de fer français,,,,,,,,,,,,,,,,,,,,,,Réseau express régional,,,,,,,,,
Gare de l'avenue Foch,,,"Neuilly – Porte Maillot (Gare de Pontoise, RER C)Avenue Henri Martin (Gare de Massy-Palaiseau, RER C)",,,,,,,,,,,Ermont-Eaubonne à Champ-de-Mars railway line (VMI line),,,,25 September 1988,,40 m,,,,,25 September 1988,Porte DauphinePorte Dauphine,,,,"48° 52′ 14.16″ N, 2° 16′ 31.08″ E",,,Paris16th arrondissement of ParisFrance,,,,,,Société nationale des chemins de fer français,Société nationale des chemins de fer français,,,,,,,,,,,,,,,,,,,,,,Réseau express régional,,,,,,,,,
Gare de Bagneux,,,"gare d'Arcueil - Cachan (Aéroport Charles de Gaulle 2 TGV, Gare de Mitry – Claye, RER B)Gare de Bourg-la-Reine (Gare de Saint-Rémy-lès-Chevreuse, Robinson, RER B)",,,,,,,,,,,Ligne de Sceaux,,,,1930,,,,,,,,Bagneux–Lucie Aubrac,,,,"48° 47′ 35″ N, 2° 19′ 16″ E",,avenue Aristide-Briand,,,,,,,,RATP,,,,,,,,,,,,,,,,,,,,,,Réseau express régional,,,,,,,,,
Gare de Ballancourt,,,"gare de Mennecy (Creil station, RER D)La Ferté-Alais Station (Malesherbes, RER D)",,,,,,,,,,,line from Villeneuve-Saint-Georges to Montargis,,,,1865,,55 m,,,,,,,,,,"48° 31′ 54.98″ N, 2° 22′ 14.99″ E",,,,,,,,,Société nationale des chemins de fer français,Société nationale des chemins de fer français,,,,,,,,,,,,,,,,,,,,,,Réseau express régional,,,,,,,,,
Gare de la Bibliothèque François-Mitterrand,,,"Ivry-sur-Seine (Bordeaux-Saint-Jean railway station, Paris–Bordeaux railway)Gare d'Austerlitz (Gare de Pontoise, Gare de Saint-Quentin-en-Yvelines, Versailles Château–Rive-Gauche, RER C)Ivry-sur-Seine (Saint-Martin-d'Étampes, Gare de Dourdan-la-Forêt, Gare de Massy-Palaiseau, RER C)",,,,,,,,,,,Paris–Bordeaux railway,,,,2000,,35 m,,,,,3 December 2000,Bibliothèque François Mitterrand,,,,"48° 49′ 47.32″ N, 2° 22′ 36.55″ E",,,,,,,,,Société nationale des chemins de fer français,Société nationale des chemins de fer français,,,,,,,,,,,,,,,,,,,,,,Réseau express régional,,,,,,,,,
Gare de Boissise-le-Roi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"48° 31′ 45″ N, 2° 34′ 23″ E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gare de Boigneville,,,"gare de Buno - Gironville (Creil station, RER D)Malesherbes (Malesherbes, RER D)",,,,,,,,,,,line from Villeneuve-Saint-Georges to Montargis,,,,1867,,71 m,,,,,,,,,,"48° 20′ 30.98″ N, 2° 22′ 44″ E",,,,,,,,,Société nationale des chemins de fer français,Société nationale des chemins de fer français,,,,,,,,,,,,,,,,,,,,,,Réseau express régional,,,,,,,,,
Gare du Blanc-Mesnil,,,"Gare d'Aulnay-sous-Bois (Aéroport Charles de Gaulle 2 TGV, Gare de Mitry – Claye, RER B)Drancy Station (Gare de Saint-Rémy-lès-Chevreuse, Robinson, RER B)",,,,,,,,,,,Q2786916,,,,1980,,46 m,,,,,1980,,,,,"48° 55′ 56″ N, 2° 28′ 34″ E",,,,,,,,,Société nationale des chemins de fer français,Société nationale des chemins de fer français,,,,,,,,,,,,,,,,,,,,,,Réseau express régional,,,,,,,,,
Gare de Boissy-Saint-Léger,,,"Sucy – Bonneuil (Paris RER) (Gare de Cergy-le-Haut, RER A)",,,,,,,,,,,ligne de Paris-Bastille à Marles-en-Brie,,,,14 December 1969,,,,,,,,,,,,"48° 45′ 09″ N, 2° 30′ 17″ E",,,,,,,,,RATP,RATP,,,,,,,,,,,,,,,,,,,,,,Réseau express régional,,,,,,,,,
Gare de Bondy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gare de Boulainvilliers,,,"Avenue Henri Martin (Gare de Pontoise, RER C)Avenue du Président Kennedy (Gare de Massy-Palaiseau, RER C)",,,,,,,,,,,Ermont-Eaubonne à Champ-de-Mars railway line (VMI line),,,,12 April 1900,,40 m,,,,Cultural heritage monuments in Île-de-France (2021–),12 April 1900,,,,,"48° 51′ 23″ N, 2° 16′ 30″ E",,,,,,,,,Société nationale des chemins de fer français,Société nationale des chemins de fer français,,,,,,,,,,,,,,,,,,,,,,Réseau express régional,,,,,,,,,
Gare de Bouray,,,"Lardy (Paris RER) (Bordeaux-Saint-Jean railway station, Paris–Bordeaux railway)Marolles-en-Hurepoix (Paris RER) (Gare d'Austerlitz, Paris–Bordeaux railway)Marolles-en-Hurepoix (Paris RER) (Gare de Saint-Quentin-en-Yvelines, Versailles Château–Rive-Gauche, RER C)Lardy (Paris RER) (Saint-Martin-d'Étampes, RER C)",,,,,,,,,,,Paris–Bordeaux railway,,,,5 May 1843,,84 m,,,,,,,,,,"48° 31′ 59.92″ N, 2° 17′ 25.83″ E",,,,,,,,,Société nationale des chemins de fer français,Société nationale des chemins de fer français,,,,,,,,,,,,,,,,,,,,,,Réseau express régional,,,,,,,,,
Gare des Boullereaux-Champigny,,,"Nogent – Le Perreux (Paris RER) (Gare de Nanterre-La Folie, RER E)Villiers-sur-Marne - Le Plessis-Trévise station (Gare de Tournan, RER E)",,,,,,,,,,,Paris–Mulhouse railway,,,,,,,,,,,1999,,,,,"48° 49′ 28.99″ N, 2° 30′ 42.01″ E",,Rue Danielle-Casanova,,,,,,,Société nationale des chemins de fer français,Société nationale des chemins de fer français,,,,,,,,,,,,,,,,,,,,,,Réseau express régional,,,,,,,,,
Gare de Bourg-la-Reine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gare du Bourget,,,"Drancy Station (Aéroport Charles de Gaulle 2 TGV, Gare de Mitry – Claye, RER B)La Courneuve – Aubervilliers Station (Gare de Saint-Rémy-lès-Chevreuse, Robinson, RER B)",,,,,,,,,,,Q2786916,,,,1863,,,,,,,1863,Gare du Bourget (T11 Express),,,,"48° 55′ 51″ N, 2° 25′ 34″ E",,place des Déportés,,,,,,,,Société nationale des chemins de fer français,,,,,,,,,,,,,,,,,,,,,,Réseau express régional,,,,,,,,,
Gare de Boussy-Saint-Antoine,,,"Brunoy railway station (Creil station, RER D)gare de Combs-la-Ville - Quincy (Gare de Melun, RER D)",,,,,,,,,,,Paris–Marseille railway,,,,1969,,72 m,,,,,,,,,,"48° 40′ 50.02″ N, 2° 31′ 59.99″ E",,,,,,,,,Société nationale des chemins de fer français,Société nationale des chemins de fer français,,,,,,,,,,,,,,,,,,,,,,Réseau express régional,,,,,,,,,
Gare de Boutigny,,,"La Ferté-Alais Station (Creil station, RER D)gare de Maisse (Malesherbes, RER D)",,,,,,,,,,,line from Villeneuve-Saint-Georges to Montargis,,,,1865,,60 m,,,,,,,,,,"48° 26′ 04.99″ N, 2° 22′ 34″ E",,,,,,,,,Société nationale des chemins de fer français,Société nationale des chemins de fer français,,,,,,,,,,,,,,,,,,,,,,Réseau express régional,,,,,,,,,
Gare du Bras de Fer - Évry - Génopole,,,"Gare d'Évry-Courcouronnes Centre (Creil station, RER D)Corbeil-Essonnes (Gare de Melun, RER D)",,,,,,,,,,,line from Grigny to Corbeil-Essonnes,,,,1975,,80 m,,,,,,,,,,"48° 37′ 23.02″ N, 2° 27′ 02.02″ E",,,,,,,,,Société nationale des chemins de fer français,Société nationale des chemins de fer français,,,,,,,,,,,,,,,,,,,,,,Réseau express régional,,,,,,,,,
Gare de Brétigny,,,"Marolles-en-Hurepoix (Paris RER) (Saint-Martin-d'Étampes, RER C)Saint-Michel-sur-Orge (Paris RER) (Gare de Saint-Quentin-en-Yvelines, Versailles Château–Rive-Gauche, RER C)Gare de La Norville - Saint-Germain-lès-Arpajon (Gare de Dourdan-la-Forêt, RER C)",,,,,,,,,,,Paris–Bordeaux railwayLigne de Brétigny à La Membrolle-sur-Choisille,,,,1847,Q24940485,77 m,,,,Cultural heritage monuments in Île-de-France (2021–),1865,,,,,"48° 36′ 23″ N, 2° 18′ 06″ E",,,,,,,,,Société nationale des chemins de fer français,Société nationale des chemins de fer français,,,,,,,,,,,,,,,,,,,,,,Réseau express régional,,,,,,,,,
Gare de Breuillet - Bruyères-le-Châtel,,,"Gare de Breuillet - Village (La Membrolle-sur-Choisille, Ligne de Brétigny à La Membrolle-sur-Choisille)gare d'Égly (Brétigny (Paris RER), Ligne de Brétigny à La Membrolle-sur-Choisille)Gare de Breuillet - Village (Gare de Dourdan-la-Forêt, RER C)gare d'Égly (Gare de Saint-Quentin-en-Yvelines, RER C)",,,,,,,,,,,Ligne de Brétigny à La Membrolle-sur-Choisille,,,,,,56 m,,,,,,,,,,"48° 34′ 38″ N, 2° 11′ 29″ E",,,,,,,,,Société nationale des chemins de fer français,Société nationale des chemins de fer français,,,,,,,,,,,,,,,,,,,,,,Réseau express régional,,,,,,,,,
Gare de Brunoy,,,"Yerres railway station (Creil station, RER D)Boussy-Saint-Antoine (Gare de Melun, RER D)",,François-Alexis Cendrier,,,,,,,,,Paris–Marseille railway,,,,1852,,58 m,,,,,,,,,,"48° 41′ 56″ N, 2° 30′ 24.01″ E",,,,,,,,,Société nationale des chemins de fer français,Société nationale des chemins de fer français,,,,,,,,,,,,,,,,,,,,,,Réseau express régional,,,,,,,,,
Gare de Bry-sur-Marne (RATP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"48° 50′ 40″ N, 2° 31′ 34″ E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gare de Buno - Gironville,,,"gare de Maisse (Creil station, RER D)Boigneville (Malesherbes, RER D)",,,,,,,,,,,line from Villeneuve-Saint-Georges to Montargis,,,,1867,,67 m,,,,,,,,,,"48° 22′ 14.02″ N, 2° 23′ 12.98″ E",,,,,,,,,Société nationale des chemins de fer français,Société nationale des chemins de fer français,,,,,,,,,,,,,,,,,,,,,,Réseau express régional,,,,,,,,,
Gare de Bussy-Saint-Georges,,,"Torcy (Saint-Germain-en-Laye station, RER A)Val d'Europe (Marne-la-Vallée - Chessy, RER A)",,,,,,,,,,,,,,,1995,,,,,,,1995,,,,,"48° 50′ 11″ N, 2° 42′ 34″ E",,,,,,,,,RATP,RATP,,,,,,,,,,,,,,,,,,,,,,Réseau express régional,,,,,,,,,
Gare de Bures-sur-Yvette,,,"Orsay-Ville Station (Aéroport Charles de Gaulle 2 TGV, Gare de Mitry – Claye, RER B)Gare de La Hacquinière (Gare de Saint-Rémy-lès-Chevreuse, RER B)",,,,,,,,,,,Ligne de Sceaux,,,,1891,,94 m,,,,,,,,,,"48° 41′ 44.87″ N, 2° 09′ 46.98″ E",,,,,,,,,RATP,RATP,,,,,,,,,,,,,,,,,,,,,,Réseau express régional,,,,,,,,,
Gare de Cergy-Saint-Christophe,,,"Gare de Cergy-le-Haut (Gare de Cergy-le-Haut, RER A)Gare de Cergy – Préfecture (Boissy-Saint-Léger, RER A)",,,,,,,,,,,Ligne de la bifurcation de Neuville à Cergy-Préfecture,,,,1988,,97 m,,,,,1988,,,,,"49° 02′ 58″ N, 2° 02′ 03″ E",,,,,,,,,Société nationale des chemins de fer français,Société nationale des chemins de fer français,,,,,,,,,,,,,,,,,,,,,,Réseau express régionalTransilien,,,,,,,,,
Gare de Cergy-Préfecture,,,"Gare de Cergy – Saint-Christophe (Gare de Cergy-le-Haut, RER A)Gare de Neuville – Université (Gare Saint-Lazare, Line L)Gare de Neuville – Université (Boissy-Saint-Léger, RER A)",,,,,,,,,,,Ligne de la bifurcation de Neuville à Cergy-Préfecture,,,,31 March 1979,,,,,,,,,,,,"49° 02′ 10″ N, 2° 04′ 49″ E",,,"Cergy-Préfecture, Cergy, Val-d'Oise, Île-de-France, Metropolitan France, France",,,,,,Société nationale des chemins de fer français,Société nationale des chemins de fer français,,,,,,,,,,,,,,,,,,,,,,Réseau express régionalTransilien,,,,,,,,,
Gare de Cergy-le-Haut,,,"Gare de Cergy – Saint-Christophe (Boissy-Saint-Léger, RER A)Gare de Cergy – Saint-Christophe (Line L)",,,,,,,,,,,Ligne de la bifurcation de Neuville à Cergy-Préfecture,,,,1994,,102 m,,,,,1994,,,,,"49° 02′ 54″ N, 2° 00′ 42″ E",,,,,,,,,Société nationale des chemins de fer français,Société nationale des chemins de fer français,,,,,,,,,,,,"Rue de l'Espérance, 95800 Cergy",,,,,,,,,,Réseau express régionalTransilien,,,,,,,,,
Gare de Cernay,,,"Gare de Franconville – Le Plessis-Bouchard (Gare de Pontoise, RER C, Line H)Gare d'Ermont - Eaubonne (Gare de Massy-Palaiseau, RER C)Gare d'Ermont - Eaubonne (Gare de Paris-Nord, Line H)",,,,,,,,,,,Saint-Denis–Dieppe railway,,,,1889,Gare de Cernay,54 m,,,,,,,,,,"48° 59′ 06″ N, 2° 15′ 26″ E",,,,,,,,,Société nationale des chemins de fer français,Société nationale des chemins de fer français,,,,,,,,,,,,,,,,,,,,,,Réseau express régionalTransilien,,,,,,,,,
Gare de Chamarande,,,"Étréchy (Paris RER) (Bordeaux-Saint-Jean railway station, Paris–Bordeaux railway)Lardy (Paris RER) (Gare d'Austerlitz, Paris–Bordeaux railway)Étréchy (Paris RER) (Saint-Martin-d'Étampes, RER C)Lardy (Paris RER) (Gare de Saint-Quentin-en-Yvelines, Versailles Château–Rive-Gauche, RER C)",,,,,,,,,,,Paris–Bordeaux railway,,,,5 May 1843,,85 m,,,,,,,,,,"48° 30′ 51.62″ N, 2° 12′ 56.34″ E",,,,,,,,,Société nationale des chemins de fer français,Société nationale des chemins de fer français,,,,,,,,,,,,,,,,,,,,,,Réseau express régional,,,,,,,,,
Gare de Cesson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"48° 33′ 55″ N, 2° 35′ 39″ E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gare de Champigny,,,"Le Parc de Saint-Maur (Paris RER) (Gare de Cergy-le-Haut, RER A)La Varenne – Chennevières (Paris RER) (Boissy-Saint-Léger, RER A)",,,,,,,,,,,ligne de Paris-Bastille à Marles-en-BrieGrande Ceinture line,,,,22 September 1859,,,,,,,1859,,,,,"48° 48′ 25″ N, 2° 30′ 35″ E",,,"Saint-Maur-des-Fossés, Val-de-Marne, Île-de-France, Metropolitan France, France",,,,,,RATP,RATP,,,,,,,,,,,,,,,,,,,,,,Réseau express régional,,,,,,,,,
Gare du Champ de Mars - Tour Eiffel,,,"Avenue du Président Kennedy (Gare de Pontoise, RER C)Pont de l'Alma (Saint-Martin-d'Étampes, Gare de Dourdan-la-Forêt, Gare de Massy-Palaiseau, RER C)Gare de Javel (Gare de Saint-Quentin-en-Yvelines, Versailles Château–Rive-Gauche, RER C)",,,,,,,,,,,Line from Invalides to Versailles-Rive-Gauche,,,,1867,Champ de MarsMars stationMars,308 m,,,,,1867,Bir-Hakeim,,,,"48° 51′ 24.01″ N, 2° 17′ 23.03″ E",,,,,,,,,Société nationale des chemins de fer français,Société nationale des chemins de fer français,,,,,,,,,,,,,,,,,,,,,,Réseau express régional,,,,,,,,,
Gare de Charles-de-Gaulle - Étoile,,,"La Défense (Saint-Germain-en-Laye station, Poissy station, Gare de Cergy-le-Haut, RER A)Auber (Boissy-Saint-Léger, Marne-la-Vallée - Chessy, RER A)",,Pierre Dufau,,,,,,,,,RER A,,,,19 January 1970,,,,,,,19 January 1970,Charles de Gaulle - Étoile,,,,"48° 52′ 25″ N, 2° 17′ 42″ E",,,Paris8th arrondissement of ParisFrance,,,,,,RATP,RATP,,,,,,,,,,,,,,,,,,,,,,Réseau express régional,,,,,,,,,
Gare de Châtelet - Les Halles,,,"Auber (Saint-Germain-en-Laye station, Gare de Cergy-le-Haut, Poissy station, RER A)Paris-Gare-de-Lyon (Marne-la-Vallée - Chessy, Boissy-Saint-Léger, RER A)Gare de Paris-Nord (Gare de Mitry – Claye, Aéroport Charles de Gaulle 2 TGV, RER B)Saint-Michel–Notre-Dame (Gare de Saint-Rémy-lès-Chevreuse, Robinson, RER B)Paris-Gare-de-Lyon (Malesherbes, Gare de Melun, RER D)Gare de Paris-Nord (Creil station, RER D)",,,,,,,,,,,,,,,9 December 1977,Q112334376,,,,,,,ChâteletLes Halles,,,,"48° 51′ 41″ N, 2° 20′ 48″ E",,,"Q112334242, Q112334376",,,,,,RATP,RATP,,,,,,,,,,,,,,,,,,,,,,Réseau express régional,,,,,,,,,
Gare de Chantilly - Gouvieux,,,"Creil station (Creil station, RER D, Q126556264)Gare d'Orry-la-Ville-Coye (Gare de Melun, RER D, Q126556264)",,,,,,,,,,,Paris–Lille railway,,,,10 May 1859,,59 m,,,,,1859,,,,,"49° 11′ 14″ N, 2° 27′ 35″ E",,,,,,,,,Société nationale des chemins de fer français,Société nationale des chemins de fer français,,,,,,,,,,,,Place de la gare 60500 Chantilly,,,,,,,,,,Réseau express régionalTER Hauts-de-France,,,,,,,,,
Gare de Chatou - Croissy,,,"Le Vésinet – Centre (Saint-Germain-en-Laye station, RER A)Rueil-Malmaison (Marne-la-Vallée - Chessy, RER A)",,,,,,,,,,,line from Paris-Saint-Lazare to Saint-Germain-en-Laye,,,,1 October 1972,Xizhou station,36 m,,,,,1972,,,,,"48° 53′ 07″ N, 2° 09′ 22″ E",,,"Chatou, Yvelines, Île-de-France, Metropolitan France, France",,,,,,RATP,RATP,,,,,,,,,,,,,,,,,,,,,,Réseau express régional,,,,,,,,,
Gare de Chaville - Vélizy,,,"Viroflay-Rive-Gauche station (Versailles Château–Rive-Gauche, Gare de Saint-Quentin-en-Yvelines, RER C)Gare de Meudon-Val-Fleury (Saint-Martin-d'Étampes, Gare de Dourdan-la-Forêt, Gare de Massy-Palaiseau, RER C)",,,,,,,,,,,Line from Invalides to Versailles-Rive-Gauche,,,,,gare de Chaville-Rive-GaucheGare de Chaville-Rive-Droite,107 m,,,,Cultural heritage monuments in Île-de-France (2021–),,,,,,"48° 47′ 58″ N, 2° 11′ 00″ E",,,,,,,,,,Société nationale des chemins de fer français,,,,,,,,,,,,,,,,,,,,,,Réseau express régional,,,,,,,,,
Gare du Chénay-Gagny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"48° 52′ 37.7″ N, 2° 33′ 10.3″ E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gare de Chelles - Gournay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"48° 52′ 27″ N, 2° 34′ 57″ E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gare du Chemin d'Antony,,,"Rungis - La Fraternelle (Gare de Pontoise, Versailles Château–Rive-Gauche, line from Choisy-le-Roi to Massy - Canopies, RER C)Gare de Massy-Verrières (Gare de Massy-Palaiseau, line from Choisy-le-Roi to Massy - Canopies, RER C)",,,,,,,,,,,line from Choisy-le-Roi to Massy - Canopies,,,,25 September 1977,,,,,,,,,,,,"48° 44′ 52.01″ N, 2° 18′ 45″ E",,,Antony,,,,,,Société nationale des chemins de fer français,Société nationale des chemins de fer français,,,,,,,,,,,,,,,,,,,,,,Réseau express régional,,,,,,,,,
Gare de Choisy-le-Roi,,,"Gare de Villeneuve-le-Roi (Bordeaux-Saint-Jean railway station, Paris–Bordeaux railway)Les Ardoines (Gare d'Austerlitz, Paris–Bordeaux railway)Les Saules (Gare de Massy-Palaiseau, line from Choisy-le-Roi to Massy - Canopies, RER C)Les Ardoines (Gare de Saint-Quentin-en-Yvelines, Gare de Pontoise, Versailles Château–Rive-Gauche, RER C)Gare de Villeneuve-le-Roi (Saint-Martin-d'Étampes, Gare de Dourdan-la-Forêt, RER C)",,,,,,,,,,,Paris–Bordeaux railwayline from Choisy-le-Roi to Massy - Canopies,,,,20 September 1840,,37 m,,,,,,,,,,"48° 45′ 51.01″ N, 2° 24′ 40″ E",,Rue du 8-Mai-1945,,,,,,,Société nationale des chemins de fer français,Société nationale des chemins de fer français,,,,,,,,,,,,,,,,,,,,,,Réseau express régional,,,,,,,,,
Chilly-Mazarin (tramway d'Île-de-France),,,"Gravigny – Balizy Station (Évry-Courcouronnes, Île-de-France tramway Line 12)Longjumeau (Massy - Palaiseau, Île-de-France tramway Line 12)",,,,,,,,,,,Île-de-France tramway Line 12Grande Ceinture line,,,,10 December 2023,,65 m,,,,,,,,,,"48° 42′ 02″ N, 2° 18′ 26″ E",,,"Chilly-Mazarin, Essonne, Île-de-France, Metropolitan France, France",,,,,,Société nationale des chemins de fer français,Société nationale des chemins de fer français,,,,,,,,,,,,,,,,,,,,,,Tramways in Île-de-France,,,,,,,,,
Gare de Cité universitaire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gare de Conflans-Fin-d'Oise,,,"Gare d'Achères – Ville (Boissy-Saint-Léger, RER A)Gare de Neuville – Université (Gare de Cergy-le-Haut, RER A)Gare d'Achères – Ville (Gare Saint-Lazare, Line L)Gare de Conflans-Sainte-Honorine (Gare Saint-Lazare, Line J)Gare de Maurecourt (Gare de Vernon, Line J)",,,,,,,,,,,Paris-Saint-Lazare-Mantes-Station via Conflans-Sainte-Honorine railwayLigne d'Achères à Pontoise,,,,1985,,,,,,,1985,,,,,"48° 59′ 26″ N, 2° 04′ 25″ E",,,,,,,,,Société nationale des chemins de fer français,Société nationale des chemins de fer français,,,,,,,,,,,,,,,,,,,,,,Réseau express régionalTransilien,,,,,,,,,
